,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,mitu,1.1983,-70.1733,300.96,74,62,1.31,CO,1616248701
271,shakawe,-18.3667,21.85,302.87,43,62,2.42,BW,1616248948
272,araceli,10.5529,119.9913,301.42,81,59,4.31,PH,1616248948
273,nome,64.5011,-165.4064,257.15,60,1,7.2,US,1616248634
274,rio gallegos,-51.6226,-69.2181,281.15,57,20,7.72,AR,1616248949
275,tabanan,-8.5413,115.1252,301.15,83,20,4.63,ID,1616248786
276,inirida,3.8653,-67.9239,300.4,85,90,1.2,CO,1616248701
277,kota belud,6.351,116.4305,300.15,83,20,1.54,MY,1616248950
278,luzhou,28.8724,105.4405,285.24,71,100,3.05,CN,1616248950
279,ampanihy,-24.7,44.75,305.25,39,42,3.6,MG,1616248610
280,severo-kurilsk,50.6789,156.125,268.34,80,82,9.62,RU,1616248634
281,fredericksburg,38.3032,-77.4605,278.15,41,1,3.6,US,1616248951
282,limulunga,-15.0969,23.1376,299.33,70,45,2.66,ZM,1616248951
283,ensenada,31.8667,-116.6167,284.26,93,1,0.89,MX,1616248952
284,puerto el triunfo,13.2833,-88.55,302.15,94,0,1.03,SV,1616248952
285,fort payne,34.4442,-85.7197,281.15,36,1,5.66,US,1616248953
286,skibbereen,51.55,-9.2667,285.15,71,75,3.6,IE,1616248650
287,pacific grove,36.6177,-121.9166,282.04,93,1,2.06,US,1616248579
288,mogadishu,2.0371,45.3438,301.45,74,0,7.86,SO,1616248953
289,torbay,47.6666,-52.7314,270.93,86,75,7.72,CA,1616248675
290,belinskiy,52.9647,43.4165,271.69,90,100,2.81,RU,1616248954
291,ostrovnoy,68.0531,39.5131,267.54,89,91,10.21,RU,1616248954
292,zabaykalsk,49.6333,117.3167,263.25,85,0,4.74,RU,1616248804
293,dunedin,-45.8742,170.5036,287.04,74,13,6.26,NZ,1616248616
294,omaruru,-21.4333,15.9333,301.24,44,84,1.42,NA,1616248814
295,santa cruz de la palma,28.6835,-17.7642,294.15,49,40,5.66,ES,1616248955
296,vila velha,-20.3297,-40.2925,302.59,78,40,3.09,BR,1616248607
297,grindavik,63.8424,-22.4338,277.15,81,90,9.26,IS,1616248656
298,bac lieu,9.285,105.7244,299.58,81,1,3.75,VN,1616248804
299,mizdah,31.4451,12.9801,301.79,10,0,9.49,LY,1616248956
300,auchi,7.0667,6.2667,304.61,48,100,1.69,NG,1616248957
301,mantua,45.1667,10.7833,283.71,46,63,6.26,IT,1616248735
302,te anau,-45.4167,167.7167,283.08,93,76,0.8,NZ,1616248865
303,christchurch,-43.5333,172.6333,286.15,82,90,0.51,NZ,1616248892
304,herrenberg,48.5952,8.8665,277.15,45,20,2.57,DE,1616248958
305,newport,51.5877,-2.9984,284.82,70,100,0.89,GB,1616248650
306,port hardy,50.6996,-127.4199,278.15,93,90,4.63,CA,1616248678
307,barreirinha,-2.7933,-57.07,301.57,69,30,2.76,BR,1616248960
308,disna,55.568,28.1971,272.59,48,91,4.68,BY,1616248960
309,daru,-9.0763,143.2092,299.97,85,98,3.17,PG,1616248733
310,celestun,20.8667,-90.4,295.74,61,31,4.16,MX,1616248961
311,nishihara,26.1842,127.7558,296.15,88,40,4.12,JP,1616248962
312,port-gentil,-0.7193,8.7815,303.15,74,40,1.54,GA,1616248962
313,atikokan,48.7555,-91.6216,275.73,67,0,5.11,CA,1616248962
314,kommunisticheskiy,61.6789,64.4819,264.45,94,100,3.63,RU,1616248962
315,nantucket,41.2835,-70.0995,276.48,70,1,2.57,US,1616248963
316,miraflores,19.2167,-98.8083,282.15,66,20,3.6,MX,1616248395
317,mishelevka,52.8575,103.1719,267.9,78,75,1.62,RU,1616248963
318,huarmey,-10.0681,-78.1522,297.18,64,96,2.77,PE,1616248963
319,kinablangan,7.6947,126.5503,299.63,83,95,0.7,PH,1616248964
320,macas,-2.3167,-78.1167,291.15,94,40,1.54,EC,1616248964
321,sinnamary,5.3833,-52.95,299.72,78,42,4.0,GF,1616248964
322,katsuura,35.1333,140.3,288.71,81,80,8.53,JP,1616248617
323,quatre cocos,-20.2078,57.7625,300.93,89,75,5.14,MU,1616248966
324,kirakira,-10.4544,161.9205,299.69,82,93,1.47,SB,1616248966
325,rusape,-18.5278,32.1284,296.83,51,87,2.78,ZW,1616248966
326,nguru,12.8791,10.4526,313.74,10,66,2.06,NG,1616248966
327,portland,45.5234,-122.6762,280.15,76,75,6.69,US,1616248667
328,northam,51.0333,-4.2167,285.37,82,89,1.79,GB,1616248967
329,los llanos de aridane,28.6585,-17.9182,294.15,49,40,5.66,ES,1616248967
330,tual,-5.6667,132.75,302.25,64,99,1.02,ID,1616248967
331,westport,41.1415,-73.3579,279.26,41,1,1.6,US,1616248637
332,lata,40.1629,-8.3327,290.37,37,0,4.47,PT,1616248406
333,araouane,18.9048,-3.5265,307.8,7,0,3.1,ML,1616248968
334,namibe,-15.1961,12.1522,298.71,69,8,4.88,AO,1616248968
335,anqing,30.5092,117.0506,283.08,79,100,3.02,CN,1616248918
336,port macquarie,-31.4333,152.9167,296.15,88,75,5.14,AU,1616248970
337,kariba,-16.5167,28.8,301.39,57,20,0.96,ZW,1616248970
338,tecoanapa,16.5167,-98.75,298.02,60,0,1.07,MX,1616248970
339,labuan,5.2767,115.2417,301.15,83,20,2.06,MY,1616248970
340,nhulunbuy,-12.2333,136.7667,298.15,94,3,3.31,AU,1616248971
341,fostoria,41.157,-83.4169,275.93,59,0,1.34,US,1616248971
342,araripina,-7.5761,-40.4983,298.34,79,53,3.09,BR,1616248971
343,shalinskoye,55.7228,93.7594,272.03,69,100,5.4,RU,1616248972
344,buraydah,26.326,43.975,301.15,26,0,3.6,SA,1616248661
345,kushima,31.4583,131.2333,290.15,100,75,4.15,JP,1616248972
346,cortez,37.3489,-108.5859,275.37,64,1,2.57,US,1616248973
347,najran,17.4924,44.1277,306.15,10,0,5.14,SA,1616248671
348,angoram,-4.0625,144.0661,297.48,91,100,0.49,PG,1616248973
349,okha,53.5739,142.9478,263.44,84,0,3.01,RU,1616248973
350,kaeo,-35.1,173.7833,287.59,85,4,3.01,NZ,1616248974
351,ailigandi,9.2333,-78.0167,299.63,80,37,6.02,PA,1616248974
352,seoul,37.5683,126.9778,282.15,87,75,2.06,KR,1616248615
353,nabire,-3.3667,135.4833,298.87,87,100,1.31,ID,1616248743
354,serafimovich,49.5786,42.736,276.48,65,100,3.13,RU,1616248975
355,goderich,43.7501,-81.7165,274.15,64,0,2.06,CA,1616248702
356,erzin,36.9559,36.2,290.93,64,97,1.23,TR,1616248697
357,abha,18.2164,42.5053,300.15,39,20,4.63,SA,1616248390
358,baillif,16.0202,-61.7463,300.15,65,75,5.66,GP,1616248976
359,birao,10.2849,22.7882,314.35,8,6,5.86,CF,1616248976
360,devonport,-41.1667,146.35,288.15,71,60,5.81,AU,1616248385
361,ucluelet,48.9329,-125.5528,275.93,100,20,1.03,CA,1616248977
362,lisakovsk,52.5369,62.4936,273.19,94,100,6.55,KZ,1616248977
363,launceston,-41.45,147.1667,284.82,87,11,2.57,AU,1616248929
364,riyadh,24.6877,46.7219,302.15,10,0,4.12,SA,1616248801
365,jamalpur,24.9167,89.9333,300.9,29,0,1.99,BD,1616248978
366,sao joao de pirabas,-0.7747,-47.1772,300.42,74,86,1.99,BR,1616248978
367,tasiilaq,65.6145,-37.6368,269.15,86,90,15.95,GL,1616248635
368,zyryanka,65.75,150.85,250.24,83,0,3.25,RU,1616248978
369,bathsheba,13.2167,-59.5167,301.15,54,40,8.23,BB,1616248979
370,lere,10.387,8.5726,308.43,21,99,1.43,NG,1616248979
371,haines junction,60.7522,-137.5108,245.15,76,77,0.51,CA,1616248980
372,husavik,66.0449,-17.3389,278.15,56,75,7.2,IS,1616248981
373,wewak,-3.5534,143.6268,300.2,79,65,2.01,PG,1616248981
374,zemio,5.0314,25.1361,305.72,44,79,0.94,CF,1616248982
375,port hedland,-20.3167,118.5667,298.15,57,40,6.17,AU,1616248812
376,qingdao,36.0986,120.3719,281.48,81,40,2.86,CN,1616248685
377,georgiyevskoye,58.731,45.024,267.83,88,100,3.77,RU,1616248983
378,jizan,17.3333,42.6667,304.15,55,20,7.72,SA,1616248983
379,alofi,-19.0595,-169.9187,296.15,94,100,1.03,NU,1616248598
380,caravelas,-17.7125,-39.2481,301.21,66,50,2.47,BR,1616248984
381,sonoita,31.85,-112.8333,287.59,35,0,1.61,MX,1616248984
382,khilok,51.3674,110.4676,264.79,88,100,3.47,RU,1616248984
383,bol,13.4586,14.7147,303.56,51,52,4.05,TD,1616248985
384,jiayuguan,39.8167,98.3,272.85,29,95,4.9,CN,1616248955
385,sulangan,11.1373,123.7228,302.0,76,68,6.1,PH,1616248986
386,umm kaddadah,13.6017,26.6876,312.03,6,4,9.11,SD,1616248986
387,beloha,-25.1667,45.05,303.48,49,46,6.71,MG,1616248581
388,vardo,70.3705,31.1107,274.15,69,75,11.83,NO,1616248606
389,aksu,41.1231,80.2644,282.44,32,100,3.56,CN,1616248987
390,broken hill,-31.95,141.4333,297.15,43,100,6.17,AU,1616248989
391,komsomolskiy,40.4272,71.7189,290.15,34,40,5.14,UZ,1616248989
392,moron,-34.6534,-58.6198,292.59,94,90,4.63,AR,1616248989
393,bilma,18.6853,12.9164,313.08,8,0,0.67,NE,1616248990
394,natal,-5.795,-35.2094,303.15,62,40,7.72,BR,1616248668
395,coihueco,-36.6167,-71.8333,291.15,55,0,2.57,CL,1616248991
396,coquimbo,-29.9533,-71.3436,290.15,63,0,3.6,CL,1616248642
397,santa cruz,-17.8,-63.1667,301.15,69,75,5.14,BO,1616248991
398,black river,18.0264,-77.8487,300.93,69,20,2.06,JM,1616248992
399,petropavlovsk-kamchatskiy,53.0452,158.6483,268.15,63,10,2.0,RU,1616248703
400,walvis bay,-22.9575,14.5053,291.48,83,6,4.02,NA,1616248495
401,kagoro,9.6,8.3833,305.76,27,72,0.74,NG,1616248995
402,general roca,-39.0333,-67.5833,292.15,45,0,4.12,AR,1616248995
403,susanville,40.4163,-120.653,275.15,80,90,2.57,US,1616248995
404,fairbanks,64.8378,-147.7164,252.59,76,1,2.57,US,1616248717
405,okhotsk,59.3833,143.3,258.21,76,73,1.79,RU,1616248996
406,saint-pierre,-21.3393,55.4781,301.15,69,75,10.29,RE,1616248996
407,cheney,47.4874,-117.5758,275.15,80,75,4.63,US,1616248579
408,depok,-6.4,106.8186,301.48,74,20,4.63,ID,1616248996
409,kaihua,23.3687,104.28,292.54,89,87,3.71,CN,1616248997
410,masuda,34.6667,131.85,285.93,94,90,2.44,JP,1616248997
411,koslan,63.4564,48.8989,265.19,90,77,1.44,RU,1616248998
412,kizhinga,51.8462,109.9097,265.68,86,100,3.22,RU,1616248998
413,mount isa,-20.7333,139.5,297.15,100,100,1.54,AU,1616248706
414,san carlos,9.6612,-68.5827,304.05,46,95,0.8,VE,1616248999
415,ostersund,63.1792,14.6357,278.71,70,20,7.2,SE,1616248999
416,venado tuerto,-33.7456,-61.9688,292.59,90,99,4.47,AR,1616248999
417,pyaozerskiy,65.8333,31.1667,273.56,86,100,3.32,RU,1616249000
418,kavieng,-2.5744,150.7967,301.53,76,100,3.86,PG,1616248641
419,nizhneangarsk,55.7833,109.55,265.54,94,100,6.74,RU,1616249000
420,pisco,-13.7,-76.2167,295.15,68,0,2.57,PE,1616248581
421,fortuna,40.5982,-124.1573,278.71,100,90,3.09,US,1616248623
422,havre,49.5833,0.3333,281.48,76,20,5.14,FR,1616249001
423,champerico,14.3,-91.9167,297.15,83,0,1.89,GT,1616249002
424,bubaque,11.2833,-15.8333,298.08,55,0,4.64,GW,1616249002
425,prado,-17.3411,-39.2208,301.19,64,92,3.16,BR,1616249002
426,makakilo city,21.3469,-158.0858,295.15,73,20,2.57,US,1616249003
427,kidal,18.4411,1.4078,310.85,8,0,7.13,ML,1616249003
428,ventspils,57.3894,21.5606,275.15,69,20,9.26,LV,1616249003
429,san vicente,-26.6167,-54.1333,300.59,54,35,3.54,AR,1616248709
430,teguise,29.0605,-13.564,294.15,46,40,7.2,ES,1616249004
431,ginir,7.1333,40.7,292.88,65,35,3.9,ET,1616248668
432,hami,42.8,93.45,277.33,16,0,2.53,CN,1616248597
433,wilmington,34.2257,-77.9447,280.93,65,90,7.2,US,1616249005
434,tancanhuitz,21.6,-98.9667,289.58,89,97,0.4,MX,1616249006
435,calvinia,-31.4707,19.776,298.17,25,0,6.34,ZA,1616249006
436,zeulenroda,50.65,11.9833,274.82,69,69,0.45,DE,1616249006
437,tromso,69.6496,18.957,274.26,80,75,1.03,NO,1616249007
438,tambopata,-12.7333,-69.1833,297.15,88,90,0.51,PE,1616249007
439,zhanaozen,43.3,52.8,280.79,65,66,5.44,KZ,1616249008
440,hovd,48.0056,91.6419,268.16,30,0,0.52,MN,1616248622
441,lashio,22.9333,97.75,295.35,30,92,0.49,MM,1616249008
442,ust-nera,64.5667,143.2,252.77,99,86,1.9,RU,1616249009
443,tilichiki,60.4667,166.1,246.05,89,72,3.75,RU,1616249009
444,gadwal,16.2333,77.8,305.0,21,67,4.3,IN,1616249009
445,miyako,39.6367,141.9525,279.83,96,100,4.67,JP,1616248828
446,lorengau,-2.0226,147.2712,301.39,72,100,1.82,PG,1616248721
447,vanavara,60.34,102.2797,260.19,84,75,2.71,RU,1616249010
448,roros,62.5747,11.3842,279.15,56,20,7.72,NO,1616249011
449,mikhaylovka,50.06,43.2379,275.37,73,90,2.24,RU,1616249011
450,shu,43.5983,73.7614,280.35,94,55,5.75,KZ,1616249011
451,marovoay,-16.1,46.6333,306.15,55,20,2.06,MG,1616249012
452,narasannapeta,18.4167,84.05,299.62,64,9,3.24,IN,1616249012
453,chopda,21.25,75.3,303.37,25,54,1.78,IN,1616249012
454,gull lake,50.1001,-108.4847,274.15,64,1,8.75,CA,1616249013
455,alice springs,-23.7,133.8833,295.15,64,90,4.12,AU,1616248622
456,broome,42.2506,-75.833,272.04,50,1,3.09,US,1616248707
457,yeppoon,-23.1333,150.7333,297.15,94,75,3.6,AU,1616249013
458,ornskoldsvik,63.2909,18.7153,279.15,75,90,6.69,SE,1616248638
459,atar,20.5169,-13.0499,304.68,10,0,6.46,MR,1616248709
460,hurghada,27.2574,33.8129,302.15,32,0,2.06,EG,1616248904
461,juneau,58.3019,-134.4197,270.15,80,90,1.54,US,1616249014
462,kutum,14.2,24.6667,308.1,7,68,9.3,SD,1616248670
463,bandarbeyla,9.4942,50.8122,299.78,65,0,6.11,SO,1616249016
464,vyartsilya,62.1764,30.693,270.9,92,100,4.33,RU,1616249016
465,ilo,-17.6394,-71.3375,297.15,78,0,8.23,PE,1616249016
466,akyab,20.15,92.9,299.12,75,99,2.7,MM,1616249016
467,jega,12.2175,4.3792,313.74,9,32,2.03,NG,1616249017
468,muros,42.7762,-9.0603,288.71,38,0,7.1,ES,1616248607
469,ponca city,36.707,-97.0856,279.26,65,1,4.12,US,1616249017
470,bonavista,48.6499,-53.1147,269.82,86,100,3.6,CA,1616249018
471,lavrentiya,65.5833,-171.0,251.7,88,98,5.26,RU,1616248703
472,turayf,31.6725,38.6637,297.15,25,75,5.14,SA,1616249019
473,pavlodar,52.3,76.95,274.15,86,90,5.0,KZ,1616249019
474,mangrol,21.1167,70.1167,299.37,73,0,5.93,IN,1616249019
475,sawakin,19.1059,37.3321,301.32,50,9,4.72,SD,1616249020
476,zhigansk,66.7697,123.3711,263.23,90,100,13.62,RU,1616249020
477,herat,34.5,62.0,290.15,51,20,3.09,AF,1616249020
478,canberra,-35.2835,149.1281,290.37,77,90,6.69,AU,1616248827
479,penzance,50.1186,-5.5371,283.15,76,75,2.57,GB,1616249021
480,marsa matruh,31.3525,27.2453,293.15,68,0,10.29,EG,1616249022
481,san-pedro,4.7485,-6.6363,302.78,64,82,3.8,CI,1616249022
482,kenora,49.8167,-94.4337,275.15,69,1,6.17,CA,1616249022
483,felsotarkany,47.9667,20.4167,277.75,41,95,1.82,HU,1616249023
484,deputatskiy,69.3,139.9,248.3,100,98,1.23,RU,1616249023
485,puerto ayacucho,5.6639,-67.6236,303.6,50,45,4.38,VE,1616249024
486,requena,39.4883,-1.1004,288.15,41,23,6.85,ES,1616249025
487,cockburn town,21.4612,-71.1419,297.94,78,0,7.31,TC,1616249025
488,portoferraio,42.8115,10.3146,284.15,40,40,1.54,IT,1616249025
489,krasnyye chetai,55.6887,46.1386,270.08,88,100,4.89,RU,1616249025
490,borborema,-21.6197,-49.0736,301.59,61,58,3.09,BR,1616249026
491,gornopravdinsk,60.05,69.9,270.5,98,99,1.62,RU,1616249026
492,yulara,-25.2406,130.9889,292.15,94,90,3.25,AU,1616248584
493,tubuala,9.5167,-79.0333,301.48,65,40,1.54,PA,1616249028
494,progreso,21.2833,-89.6667,293.71,88,40,3.82,MX,1616248628
495,pangody,65.85,74.4859,248.7,83,100,7.47,RU,1616248703
496,erenhot,43.6475,111.9767,269.86,30,0,4.68,CN,1616249029
497,igrim,63.1906,64.4162,260.05,93,100,4.89,RU,1616249029
498,orange walk,17.8333,-88.8333,295.15,83,40,4.12,BZ,1616249029
499,shediac,46.2198,-64.5411,270.15,46,75,7.72,CA,1616249030
500,lerwick,60.1545,-1.1494,281.15,93,75,10.8,GB,1616249030
501,tupik,54.4253,119.9327,258.95,87,9,1.99,RU,1616249030
502,laguna,38.421,-121.4238,278.15,93,1,2.06,US,1616248723
503,ossora,59.2353,163.0719,257.24,95,100,2.08,RU,1616249031
504,kuching,1.55,110.3333,301.15,83,20,1.03,MY,1616248812
505,marawi,7.9986,124.2928,299.26,88,100,2.24,PH,1616249032
506,vila,42.0304,-8.1588,287.04,43,0,5.81,PT,1616249032
507,xiuyan,40.2928,123.2744,276.16,80,57,1.01,CN,1616249024
508,fukue,32.6881,128.8419,288.55,93,100,6.04,JP,1616249033
509,vammala,61.3333,22.9,274.26,100,90,5.14,FI,1616249034
510,xochistlahuaca,16.7833,-98.25,298.55,42,0,1.21,MX,1616249034
511,kericho,-0.3677,35.2831,303.15,42,20,6.69,KE,1616249034
512,tanabe,33.7333,135.3667,289.39,96,100,6.01,JP,1616248837
513,belyy yar,53.6039,91.3903,267.15,79,79,2.0,RU,1616249035
514,matagami,49.7502,-77.6328,273.15,59,1,4.63,CA,1616249035
515,macusani,-14.0833,-70.4333,277.59,82,97,2.04,PE,1616249036
516,lamar,33.6668,-95.5836,281.48,76,1,5.66,US,1616249036
517,ko samui,9.5357,99.9357,301.15,78,20,2.57,TH,1616248804
518,sringeri,13.4167,75.25,302.15,70,40,3.09,IN,1616249037
519,griffith,41.5284,-87.4237,277.04,56,1,3.6,US,1616249037
520,flinders,-34.5833,150.8552,294.82,91,100,2.68,AU,1616249038
521,sabang,5.8933,95.3214,302.28,68,100,3.22,ID,1616249039
522,alta floresta,-9.8756,-56.0861,300.15,83,75,2.06,BR,1616249040
523,yar-sale,66.8333,70.8333,247.42,88,99,5.69,RU,1616248663
524,presidencia roque saenz pena,-26.7852,-60.4388,298.59,84,83,2.64,AR,1616249042
525,wajir,1.7471,40.0573,306.97,38,99,4.44,KE,1616249042
526,paamiut,61.994,-49.6678,273.19,83,81,3.33,GL,1616249042
527,emerald,-23.5333,148.1667,299.15,73,100,4.12,AU,1616248800
528,naranjal,-2.6667,-79.6167,301.15,74,20,3.09,EC,1616249045
529,caucaia,-3.7361,-38.6531,304.15,58,40,7.72,BR,1616249045
530,freeport,40.6576,-73.5832,279.15,31,1,2.57,US,1616249045
531,grand-santi,4.25,-54.3833,303.04,57,68,1.71,GF,1616249046
532,saint anthony,45.0205,-93.218,278.15,56,1,5.14,US,1616248669
533,buala,-8.145,159.5921,299.86,81,100,1.19,SB,1616249046
534,devils lake,48.1128,-98.8651,274.26,86,1,5.66,US,1616249046
535,tabuk,17.4189,121.4443,297.05,90,72,1.52,PH,1616248909
536,ternate,0.8,127.4,300.68,78,90,1.99,ID,1616249047
537,chipinge,-20.1883,32.6236,297.09,57,11,3.38,ZW,1616249048
538,ballina,-28.8667,153.5667,294.15,94,40,2.06,AU,1616249048
539,abu dhabi,24.4667,54.3667,301.15,47,0,5.66,AE,1616248768
540,roma,43.2128,-75.4557,275.37,51,1,2.74,US,1616248991
541,inhambane,-23.865,35.3833,303.15,62,40,2.57,MZ,1616249049
542,ponta delgada,37.7333,-25.6667,289.15,67,75,7.2,PT,1616248849
